what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372784841495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372784844524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372784851449
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372784852601
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372784852683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372784853508
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372784963265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372784966352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372784967187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372784968416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372784969632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372784977233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372784977878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372784979852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372784980584
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372784985479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372784988772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372784988900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372784989303
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372784990770
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372784994041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372784996236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372785017788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372785021014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372785053201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372785059298
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1372785060759
opened,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1372785068488
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1372785068508
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1372785069746
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1372785070939
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372785073440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372785075660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372785075750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372785077354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372785077461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372785080560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372785082578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372785086865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372785088989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372785089921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372785092237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372785098766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372785100654
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372785102745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372785103296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372785110169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372785113894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372785114522
