what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373235361110
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1373235387333
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1373235391805
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1373235391900
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1373235392234
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1373235392245
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1373235392329
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1373235392361
opened,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1373235392682
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1373235392729
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1373235393864
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1373235393950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373235404934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373235440324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373235445807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373235467161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373235498277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373235500560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373235508249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373235510273
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1373235550594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373235555385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373235556582
